Group	Postcode	Suburb Name	State		Group	"Turn Around Time
(Business Days)"	Cut Off Time	Next Order Cut Off	Next Corresponding Delivery Day	Delivery Day	Delivery Frequency	Delivery Company 
ACT - Metro	2580	Jerrong	ACT	JerrongACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Kenmore	ACT	KenmoreACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Kenmore Hospital	ACT	Kenmore HospitalACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Kingsdale	ACT	KingsdaleACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Komungla	ACT	KomunglaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Lake Bathurst	ACT	Lake BathurstACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Middle Arm	ACT	Middle ArmACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Mummell	ACT	MummellACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Myrtleville	ACT	MyrtlevilleACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	North Goulburn	ACT	North GoulburnACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Pejar	ACT	PejarACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Pomeroy	ACT	PomeroyACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Roslyn	ACT	RoslynACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Sandy Point	ACT	Sandy PointACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Spring Valley	ACT	Spring ValleyACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Strathaird	ACT	StrathairdACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Tambarrora 	ACT	Tambarrora ACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Tarago	ACT	TaragoACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Taralga	ACT	TaralgaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Tarlo	ACT	TarloACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Tirrannaville	ACT	TirrannavilleACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Towrang	ACT	TowrangACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Windellama	ACT	WindellamaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Wombeyan Caves	ACT	Wombeyan CavesACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Woodhouselee	ACT	WoodhouseleeACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Wowagin	ACT	WowaginACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Yalbraith	ACT	YalbraithACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2580	Yarra	ACT	YarraACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Bellmount Forest	ACT	Bellmount ForestACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Bevendale	ACT	BevendaleACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
